"list_name","name","label_khmer","label_english"
"crime","9","កាប់ព្រៃកោងកាង (ហិកតា)","Deforestation of mangroves"
"crime","10","ឈូសឆាយរានដីព្រៃលិចទឹក (ហិកតា)","Clearing forest lands"
"crime","15","ឈូសឆាយរានដីព្រៃកោងកាង (ហិកតា)","Clearing flooding mangroves"
"crime","11","ទូក/កាណូត (គ្រឿង)","Boats"
"crime","12","ដឹកជញ្ជូនផល ផលិតផលជលផលខុសច្បាប់ (គីឡូក្រាម)","Illegal transport"
"crime","13","មង (ម៉ែត្រ)","Nets"
"crime","14","សន្ទួច (ផ្លែ)","Snare"
"crime","16","លូស្បែមុង (មាត់)",NA
"crime","17","លបប្រើស១០០ (គ្រឿង)",NA
"crime","18","ឈ្នក់ (គ្រឿង)",NA
"crime","19","បរ (គ្រឿង)",NA
"crime","20","រនាស់ /ឈ្នាងអូសលៀស (គ្រឿង)",NA
"crime","21","ដឹកជញ្ជូនព្រៃលិចទឹកឬព្រៃកោងកាង (ដើម)",NA
"crime","88","ផ្សេងៗ","Other"
"unite","1","វង់","Circle"
"unite","2","គ្រឿង","Accessories"
"unite","3","ម៉ែត្រ","Meters"
"unite","4","លីត្រ/គីឡូក្រាម","Lite/kg"
"unite","5","គ្រាប់/គីឡូក្រាម","bullets/kg"
"unite","6","ហិកតា","Hectares"
"unite","7","គីឡូក្រាម","Kg"
"unite","8","ករណី","Case"
"unite","9","នាក់","Person"
"unite","10","រៀល","Riel"
"enforcement","1","រឹបអូស (ករណី)","Confiscation (case)"
"enforcement","2","បំផ្លាញចោល (ករណី)","Destroy (case)"
"enforcement","3","បញ្ជូនសំណុំរឿងទៅតុលាការ (ករណី)","Send case to court (case)"
"enforcement","4","បញ្ជូនជនសង្ស័យទៅតុលាការ (នាក់)","Send suspects to court (persons)"
"enforcement","5","ជនល្មើសជាប់ពន្ធធនាគារ (នាក់)","Prison Offenders (persons)"
"enforcement","6","ពិន័យអន្តរការណ៍ (ករណី)","Transitional Penalty (Case)"
"enforcement","7","ប្រាក់ពិន័យ (រៀល)","Fines (Riel)"
"enforcement","88","ផ្សេងៗ","Other"
"business","1","ជីវកម្មខ្នាតតូច ឬបែបលក្ខណះគ្រួសារ","Small enterprise or Family business"
"business","2","ជីវកម្មខ្នាតមធ្យម","Medium enterprise"
"business","3","ជីវិកម្មខាតធំ","Big enterprise"
"provinces","1","បន្ទាយមានជ័យ","Banteay Meanchey"
"provinces","2","បាត់ដំបង","Battambang"
"provinces","3","កំពង់ចាម","Kampong Cham"
"provinces","4","កំពង់ឆ្នាំង","Kampong Chhnang"
"provinces","5","កំពង់ស្ពឺ","Kampong Speu"
"provinces","6","កំពង់ធំ","Kampong Thom"
"provinces","7","កំពត","Kampot"
"provinces","8","កណ្ដាល","Kandal"
"provinces","9","កោះកុង","Koh Kong"
"provinces","10","ក្រចេះ","Kratie"
"provinces","11","មណ្ឌលគិរី","Mondul Kiri"
"provinces","12","ភ្នំពេញ","Phnom Penh"
"provinces","13","ព្រះវិហារ","Preah Vihear"
"provinces","14","ព្រៃវែង","Prey Veng"
"provinces","15","ពោធិ៍សាត់","Pursat"
"provinces","16","រតនគិរី","Ratanak Kiri"
"provinces","17","សៀមរាប","Siemreap"
"provinces","18","ព្រះសីហនុ","Preah Sihanouk"
"provinces","19","ស្ទឹងត្រែង","Stung Treng"
"provinces","20","ស្វាយរៀង","Svay Rieng"
"provinces","21","តាកែវ","Takeo"
"provinces","22","ឧត្ដរមានជ័យ","Oddar Meanchey"
"provinces","23","កែប","Kep"
"provinces","24","ប៉ៃលិន","Pailin"
"provinces","25","ត្បូងឃ្មុំ","Tboung Khmum"
"districts","106","សិរីសោភ័ណ","Serei Saophoan"
"districts","110","ប៉ោយប៉ែត","Paoy Paet"
"districts","107","ថ្មពួក","Thma Puok"
"districts","108","ស្វាយចេក","Svay Chek"
"districts","109","ម៉ាឡៃ","Malai"
"districts","102","មង្គលបូរី","Mongkol Borei"
"districts","103","ភ្នំស្រុក","Phnum Srok"
"districts","104","ព្រះនេត្រព្រះ","Preah Netr Preah"
"districts","105","អូរជ្រៅ","Ou Chrov"
"districts","204","បវេល","Bavel"
"districts","205","ឯកភ្នំ","Aek Phnum"
"districts","206","មោងឫស្សី","Moung Ruessei"
"districts","207","រតនមណ្ឌល","Rotonak Mondol"
"districts","208","សង្កែ","Sangkae"
"districts","209","សំឡូត","Samlout"
"districts","210","សំពៅលូន","Sampov Lun"
"districts","211","ភ្នំព្រឹក","Phnum Proek"
"districts","212","កំរៀង","Kamrieng"
"districts","213","គាស់ក្រឡ","Koas Krala"
"districts","214","រុក្ខគិរី","Rukh Kiri"
"districts","203","បាត់ដំបង","Battambang"
"districts","201","បាណន់","Banan"
"districts","202","ថ្មគោល","Thma Koul"
"districts","305","កំពង់ចាម","Kampong Cham"
"districts","301","បាធាយ","Batheay"
"districts","302","ចំការលើ","Chamkar Leu"
"districts","303","ជើងព្រៃ","Cheung Prey"
"districts","306","កំពង់សៀម","Kampong Siem"
"districts","307","កងមាស","Kang Meas"
"districts","308","កោះសូទិន","Kaoh Soutin"
"districts","313","ព្រៃឈរ","Prey Chhor"
"districts","314","ស្រីសន្ធរ","Srei Santhor"
"districts","315","ស្ទឹងត្រង់","Stueng Trang"
"districts","401","បរិបូណ៌","Baribour"
"districts","402","ជលគីរី","Chol Kiri"
"districts","403","កំពង់ឆ្នាំង","Kampong Chhnang"
"districts","404","កំពង់លែង","Kampong Leaeng"
"districts","405","កំពង់ត្រឡាច","Kampong Tralach"
"districts","406","រលាប្អៀរ","Rolea B'ier"
"districts","407","សាមគ្គីមានជ័យ","Sameakki Mean Chey"
"districts","408","ទឹកផុស","Tuek Phos"
"districts","501","បរសេដ្ឋ","Basedth"
"districts","503","គងពិសី","Kong Pisei"
"districts","504","ឱរ៉ាល់","Aoral"
"districts","505","ឧដុង្គ","Odongk"
"districts","506","ភ្នំស្រួច","Phnum Sruoch"
"districts","507","សំរោងទង","Samraong Tong"
"districts","508","ថ្ពង","Thpong"
"districts","502","ច្បារមន","Chbar Mon"
"districts","603","ស្ទឹងសែន","Stueng Saen"
"districts","601","បារាយណ៍","Baray"
"districts","602","កំពង់ស្វាយ","Kampong Svay"
"districts","604","ប្រាសាទបល្ល័ង្គ","Prasat Ballangk"
"districts","605","ប្រាសាទសំបូរ","Prasat Sambour"
"districts","606","សណ្ដាន់","Sandan"
"districts","607","សន្ទុក","Santuk"
"districts","608","ស្ទោង","Stoung"
"districts","609","តាំងគោក","Taing Kouk"
"districts","701","អង្គរជ័យ","Angkor Chey"
"districts","702","បន្ទាយមាស","Banteay Meas"
"districts","703","ឈូក","Chhuk"
"districts","704","ជុំគិរី","Chum Kiri"
"districts","705","ដងទង់","Dang Tong"
"districts","706","កំពង់ត្រាច","Kampong Trach"
"districts","707","ទឹកឈូ","Tuek Chhou"
"districts","708","កំពត","Kampot"
"districts","811","តាខ្មៅ","Ta Khmau"
"districts","801","កណ្ដាលស្ទឹង","Kandal Stueng"
"districts","802","កៀនស្វាយ","Kien Svay"
"districts","803","ខ្សាច់កណ្ដាល","Khsach Kandal"
"districts","804","កោះធំ","Kaoh Thum"
"districts","805","លើកដែក","Leuk Daek"
"districts","806","ល្វាឯម","Lvea Aem"
"districts","807","មុខកំពូល","Mukh Kampul"
"districts","808","អង្គស្នួល","Angk Snuol"
"districts","809","ពញាឮ","Ponhea Lueu"
"districts","810","ស្អាង","S'ang"
"districts","905","មណ្ឌលសីមា","Mondol Seima"
"districts","906","ស្រែ អំបិល","Srae Ambel"
"districts","907","ថ្មបាំង","Thma Bang"
"districts","904","ខេមរភូមិន្ទ","Khemara Phoumin"
"districts","901","បុទុមសាគរ","Botum Sakor"
"districts","902","គិរីសាគរ","Kiri Sakor"
"districts","903","កោះកុង","Kaoh Kong"
"districts","1002","ក្រចេះ","Kracheh"
"districts","1001","ឆ្លូង","Chhloung"
"districts","1003","ព្រែកប្រសព្វ","Prek Prasab"
"districts","1004","សំបូរ","Sambour"
"districts","1005","ស្នួល","Snuol"
"districts","1006","ចិត្របុរី","Chetr Borei"
"districts","1101","កែវសីមា","Kaev Seima"
"districts","1102","កោះញែក","Kaoh Nheaek"
"districts","1103","អូររាំង","Ou Reang"
"districts","1104","ពេជ្រាដា","Pech Chreada"
"districts","1105","សែនមនោរម្យ","Saen Monourom"
"districts","1201","ចំការមន","Chamkar Mon"
"districts","1202","ដូនពេញ","Doun Penh"
"districts","1203","៧មករា","Prampir Meakkakra"
"districts","1204","ទួលគោក","Tuol Kouk"
"districts","1205","ដង្កោ","Dangkao"
"districts","1206","មានជ័យ","Mean Chey"
"districts","1207","ឫស្សីកែវ","Russey Keo"
"districts","1208","សែនសុខ","Saensokh"
"districts","1209","ពោធិ៍សែនជ័យ","Pur SenChey"
"districts","1210","ជ្រោយចង្វារ","Chraoy Chongvar"
"districts","1211","ព្រែកព្នៅ","Praek Pnov"
"districts","1212","ច្បារអំពៅ","Chbar Ampov"
"districts","1213","បឹងកេងកង","Boeng Keng Kang"
"districts","1214","កំបូល","Kamboul"
"districts","1308","ព្រះវិហារ","Preah Vihear"
"districts","1301","ជ័យសែន","Chey Saen"
"districts","1302","ឆែប","Chhaeb"
"districts","1303","ជាំក្សាន្ដ","Choam Ksant"
"districts","1304","គូលែន","Kuleaen"
"districts","1305","រវៀង","Rovieng"
"districts","1306","សង្គមថ្មី","Sangkum Thmei"
"districts","1307","ត្បែងមានជ័យ","Tbaeng Mean Chey"
"districts","1411","ពោធិ៍រៀង","Pur Rieng"
"districts","1412","ស៊ីធរកណ្ដាល","Sithor Kandal"
"districts","1413","ស្វាយអន្ទរ","Svay Antor"
"districts","1401","បាភ្នំ","Ba Phnum"
"districts","1402","កំចាយមារ","Kamchay Mear"
"districts","1403","កំពង់ត្របែក","Kampong Trabaek"
"districts","1404","កញ្ជ្រៀច","Kanhchriech"
"districts","1405","មេសាង","Me Sang"
"districts","1406","ពាមជរ","Peam Chor"
"districts","1407","ពាមរក៍","Peam Ro"
"districts","1408","ពារាំង","Pea Reang"
"districts","1409","ព្រះស្ដេច","Preah Sdach"
"districts","1410","ព្រៃវែង","Prey Veng"
"districts","1505","ពោធិ៍សាត់","Pursat"
"districts","1506","វាលវែង","Veal Veaeng"
"districts","1507","តាលោសែនជ័យ","Ta Lou Senchey"
"districts","1501","បាកាន","Bakan"
"districts","1502","កណ្ដៀង","Kandieng"
"districts","1503","ក្រគរ","Krakor"
"districts","1504","ភ្នំក្រវ៉ាញ","Phnum Kravanh"
"districts","1601","អណ្ដូងមាស","Andoung Meas"
"districts","1603","បរកែវ","Bar Kaev"
"districts","1604","កូនមុំ","Koun Mom"
"districts","1605","លំផាត់","Lumphat"
"districts","1606","អូរជុំ","Ou Chum"
"districts","1607","អូរយ៉ាដាវ","Ou Ya Dav"
"districts","1608","តាវែង","Ta Veaeng"
"districts","1609","វើនសៃ","Veun Sai"
"districts","1602","បានលុង","Ban Lung"
"districts","1710","សៀមរាប","Siem Reap"
"districts","1701","អង្គរជុំ","Angkor Chum"
"districts","1702","អង្គរធំ","Angkor Thum"
"districts","1703","បន្ទាយស្រី","Banteay Srei"
"districts","1704","ជីក្រែង","Chi Kraeng"
"districts","1706","ក្រឡាញ់","Kralanh"
"districts","1707","ពួក","Puok"
"districts","1709","ប្រាសាទបាគង","Prasat Bakong"
"districts","1711","សូទ្រនិគម","Soutr Nikom"
"districts","1712","ស្រីស្នំ","Srei Snam"
"districts","1713","ស្វាយលើ","Svay Leu"
"districts","1714","វ៉ារិន","Varin"
"districts","1801","ព្រះសីហនុ","Preah Sihanouk"
"districts","1805","កោះរ៉ុង","Kaoh Rung"
"districts","1802","ព្រៃនប់","Prey Nob"
"districts","1803","ស្ទឹងហាវ","Stueng Hav"
"districts","1804","កំពង់សីលា","Kampong Seila"
"districts","1904","ស្ទឹងត្រែង","Stueng Traeng"
"districts","1905","ថាឡាបរិវ៉ាត់","Thala Barivat"
"districts","1906","បុរីអូរស្វាយសែនជ័យ","Borei Ou Svay Senchey"
"districts","1901","សេសាន","Sesan"
"districts","1902","សៀមបូក","Siem Bouk"
"districts","1903","សៀមប៉ាង","Siem Pang"
"districts","2001","ចន្ទ្រា","Chantrea"
"districts","2002","កំពង់រោទិ៍","Kampong Rou"
"districts","2003","រំដួល","Rumduol"
"districts","2004","រមាសហែក","Romeas Haek"
"districts","2005","ស្វាយជ្រំ","Svay Chrum"
"districts","2008","បាវិត","Bavet"
"districts","2006","ស្វាយរៀង","Svay Rieng"
"districts","2007","ស្វាយទាប","Svay Teab"
"districts","2108","ដូនកែវ","Doun Kaev"
"districts","2109","ត្រាំកក់","Tram Kak"
"districts","2110","ទ្រាំង","Treang"
"districts","2101","អង្គរបូរី","Angkor Borei"
"districts","2102","បាទី","Bati"
"districts","2103","បូរីជលសារ","Borei Cholsar"
"districts","2104","គីរីវង់","Kiri Vong"
"districts","2105","កោះអណ្ដែត","Kaoh Andaet"
"districts","2106","ព្រៃកប្បាស","Prey Kabbas"
"districts","2107","សំរោង","Samraong"
"districts","2204","សំរោង","Samraong"
"districts","2201","អន្លង់វែង","Anlong Veaeng"
"districts","2202","បន្ទាយអំពិល","Banteay Ampil"
"districts","2203","ចុងកាល់","Chong Kal"
"districts","2205","ត្រពាំងប្រាសាទ","Trapeang Prasat"
"districts","2301","ដំណាក់ចង្អើរ","Damnak Chang'aeur"
"districts","2302","កែប","Kaeb"
"districts","2401","ប៉ៃលិន","Pailin"
"districts","2402","សាលាក្រៅ","Sala Krau"
"districts","2501","តំបែរ","Dambae"
"districts","2502","ក្រូចឆ្មារ","Krouch Chhmar"
"districts","2503","មេមត់","Memot"
"districts","2504","អូររាំងឪ","Ou Reang Ov"
"districts","2505","ពញាក្រែក","Ponhea Kraek"
"districts","2506","សួង","Suong"
"districts","2507","ត្បូងឃ្មុំ","Tboung Khmum"
